gene_family_id	R5-3	M.roreri	B.botryosum	R0301	P.striiformis	P.oryzae	U.maydis	R10-1	R.solani	P.placenta	R1-6-1	R1-8-2
GF_404	3	1	3	3	0	2	1	4	1	1	3	3
GF_405	1	0	4	2	3	7	1	3	1	0	1	2
GF_406	2	0	0	2	0	0	0	5	12	0	1	3
GF_407	3	2	2	3	0	0	0	3	7	0	3	2
GF_408	3	1	1	4	0	0	0	4	3	1	4	4
GF_409	5	1	1	5	0	0	0	3	1	0	6	3
GF_410	4	0	0	5	0	0	0	4	3	0	4	5
GF_411	2	4	1	2	2	3	1	2	3	1	2	2
GF_412	3	1	0	4	0	0	0	3	6	1	3	4
GF_413	4	2	2	3	0	0	2	2	3	1	4	2
GF_414	4	0	1	0	0	7	0	4	1	0	4	4
GF_415	2	3	2	1	2	2	1	1	2	2	5	2
GF_416	2	0	0	2	0	0	0	7	8	0	2	4
GF_417	3	0	0	6	0	0	0	7	0	0	2	7
GF_418	2	2	2	2	1	3	2	2	3	2	2	2
GF_419	0	25	0	0	0	0	0	0	0	0	0	0
GF_420	0	25	0	0	0	0	0	0	0	0	0	0
GF_421	1	6	3	1	2	3	2	1	2	2	1	1
GF_422	0	0	0	0	25	0	0	0	0	0	0	0
GF_423	0	6	0	0	0	3	0	0	0	15	0	0
GF_424	2	2	2	4	0	2	0	2	2	2	2	4
GF_425	2	2	2	2	2	2	2	2	2	2	2	2
GF_426	2	2	2	2	1	1	1	2	2	5	2	2
GF_427	0	0	3	1	14	2	0	0	2	2	0	0
GF_428	1	3	9	1	0	0	0	1	1	6	1	1
GF_429	2	2	2	2	2	2	2	2	2	2	2	2
GF_430	2	3	3	2	0	3	1	2	2	2	2	2
GF_431	2	4	3	2	0	1	1	2	2	3	2	2
GF_432	2	7	1	2	0	1	0	2	2	3	2	2
GF_433	2	2	2	3	0	1	2	2	3	2	2	3
GF_434	3	1	3	3	0	1	1	3	2	1	3	3
GF_435	2	2	5	2	1	1	1	2	2	2	2	2
